,Domain,Phylum,Class,Order,Family,Genus
Seq28,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq29,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq31,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq32,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq33,Archaea,Thaumarchaeota,Marine Group I,,,
Seq34,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq35,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq36,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq37,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group
Seq38,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq39,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq40,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq41,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq42,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq43,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq44,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq45,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq46,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,
Seq47,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq48,Bacteria,Planctomycetes,Planctomycetacia,Brocadiales,Brocadiaceae,Candidatus Scalindua
Seq49,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq50,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq51,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq52,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq53,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq54,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq55,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq56,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq57,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq58,Archaea,Thaumarchaeota,Marine Group I,,,
Seq59,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group
Seq60,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq61,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq62,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq63,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq64,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq65,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq66,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq67,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq68,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq69,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq70,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq71,Bacteria,Cyanobacteria,Chloroplast,,,
Seq72,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq74,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq75,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq76,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq77,Archaea,Thaumarchaeota,Marine Group I,,,
Seq78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq79,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq80,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq81,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq82,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq83,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq84,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq85,Bacteria,Proteobacteria,ARKICE-90,,,
Seq86,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq87,Archaea,Thaumarchaeota,Marine Group I,,,
Seq88,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq89,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq90,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq91,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq92,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq93,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq94,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq95,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq96,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq97,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq98,Bacteria,Cyanobacteria,Chloroplast,,,
Seq99,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq100,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter
Seq101,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq102,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq103,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq104,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq105,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group
Seq106,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq107,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter
Seq108,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq109,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq110,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq111,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq112,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq113,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq114,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq115,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq116,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq117,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq118,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq119,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Chesapeake-Delaware Bay,
Seq120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured
Seq121,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq122,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq123,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq124,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq126,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,
Seq127,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq128,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq129,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq130,Bacteria,Chloroflexi,SAR202 clade,,,
Seq131,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq132,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq133,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum
Seq134,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,
Seq135,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq136,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq138,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,
Seq139,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq140,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq141,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq142,Archaea,Thaumarchaeota,Marine Group I,,,
Seq143,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq144,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq145,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq146,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq147,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum
Seq148,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq149,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq150,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,
Seq151,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq152,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq153,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq154,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq155,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq156,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq157,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq158,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq159,Bacteria,Chloroflexi,SAR202 clade,,,
Seq160,Bacteria,Cyanobacteria,Chloroplast,,,
Seq161,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq162,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq163,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq164,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq165,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq166,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq167,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq168,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq169,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq170,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter
Seq171,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq172,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq173,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq174,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq175,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,
Seq176,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq177,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq178,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq179,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq180,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq181,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq182,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq183,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq184,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq185,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq186,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group
Seq187,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq188,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq189,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq190,Archaea,Thaumarchaeota,Marine Group I,,,
Seq191,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq192,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq193,Archaea,Thaumarchaeota,Marine Group I,,,
Seq194,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq195,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter
Seq196,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq197,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq198,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq199,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq200,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq201,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 3,
Seq202,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq203,Bacteria,Cyanobacteria,Chloroplast,,,
Seq204,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq205,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq206,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq207,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq208,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq209,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq210,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255 marine benthic group,
Seq211,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq212,Archaea,Thaumarchaeota,Marine Group I,,,
Seq213,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq214,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq215,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq216,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,
Seq217,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq218,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq219,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
Seq220,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq221,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq222,Archaea,Thaumarchaeota,Marine Group I,,,
Seq223,Bacteria,Cyanobacteria,Chloroplast,,,
Seq224,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,
Seq225,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq226,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,
Seq227,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq228,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq229,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq230,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq231,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq232,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,
Seq233,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq234,Archaea,Thaumarchaeota,Marine Group I,,,
Seq235,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq236,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq237,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq238,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq239,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq240,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq241,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq242,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq243,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq244,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq245,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,
Seq246,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq247,Archaea,Thaumarchaeota,Marine Group I,,,
Seq248,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq249,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq250,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq251,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq252,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq253,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq254,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq255,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter
Seq256,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq257,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq258,Bacteria,Cyanobacteria,Chloroplast,,,
Seq259,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq260,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group
Seq261,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq262,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq263,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq264,Archaea,Thaumarchaeota,Marine Group I,,,
Seq265,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq266,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq267,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq268,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq269,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq270,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq271,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq272,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq273,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq274,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq275,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq276,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq277,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq278,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq279,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq280,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq281,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq282,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,
Seq283,Bacteria,Cyanobacteria,Chloroplast,,,
Seq284,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq285,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq286,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 3,
Seq287,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group
Seq288,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq289,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq290,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq291,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq292,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq293,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq294,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group
Seq295,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq296,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,
Seq297,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq298,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
